@relation Mall_Customers_clustered

@attribute Instance_number numeric
@attribute CustomerID numeric
@attribute Gender {Male,Female}
@attribute Age numeric
@attribute 'Annual Income (k$)' numeric
@attribute 'Spending Score (1-100)' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,1,Male,19,15,39,cluster4
1,2,Male,21,15,81,cluster4
2,3,Female,20,16,6,cluster2
3,4,Female,23,16,77,cluster2
4,5,Female,31,17,40,cluster2
5,6,Female,22,17,76,cluster2
6,7,Female,35,18,6,cluster3
7,8,Female,23,18,94,cluster2
8,9,Male,64,19,3,cluster4
9,10,Female,30,19,72,cluster2
10,11,Male,67,19,14,cluster4
11,12,Female,35,19,99,cluster2
12,13,Female,58,20,15,cluster3
13,14,Female,24,20,77,cluster2
14,15,Male,37,20,13,cluster4
15,16,Male,22,20,79,cluster4
16,17,Female,35,21,35,cluster2
17,18,Male,20,21,66,cluster4
18,19,Male,52,23,29,cluster4
19,20,Female,35,23,98,cluster2
20,21,Male,35,24,35,cluster4
21,22,Male,25,24,73,cluster4
22,23,Female,46,25,5,cluster3
23,24,Male,31,25,73,cluster4
24,25,Female,54,28,14,cluster3
25,26,Male,29,28,82,cluster4
26,27,Female,45,28,32,cluster3
27,28,Male,35,28,61,cluster4
28,29,Female,40,29,31,cluster3
29,30,Female,23,29,87,cluster2
30,31,Male,60,30,4,cluster4
31,32,Female,21,30,73,cluster2
32,33,Male,53,33,4,cluster4
33,34,Male,18,33,92,cluster4
34,35,Female,49,33,14,cluster3
35,36,Female,21,33,81,cluster2
36,37,Female,42,34,17,cluster3
37,38,Female,30,34,73,cluster2
38,39,Female,36,37,26,cluster3
39,40,Female,20,37,75,cluster2
40,41,Female,65,38,35,cluster3
41,42,Male,24,38,92,cluster4
42,43,Male,48,39,36,cluster4
43,44,Female,31,39,61,cluster2
44,45,Female,49,39,28,cluster3
45,46,Female,24,39,65,cluster2
46,47,Female,50,40,55,cluster3
47,48,Female,27,40,47,cluster2
48,49,Female,29,40,42,cluster2
49,50,Female,31,40,42,cluster2
50,51,Female,49,42,52,cluster3
51,52,Male,33,42,60,cluster4
52,53,Female,31,43,54,cluster2
53,54,Male,59,43,60,cluster4
54,55,Female,50,43,45,cluster3
55,56,Male,47,43,41,cluster4
56,57,Female,51,44,50,cluster3
57,58,Male,69,44,46,cluster4
58,59,Female,27,46,51,cluster2
59,60,Male,53,46,46,cluster4
60,61,Male,70,46,56,cluster4
61,62,Male,19,46,55,cluster4
62,63,Female,67,47,52,cluster3
63,64,Female,54,47,59,cluster3
64,65,Male,63,48,51,cluster4
65,66,Male,18,48,59,cluster4
66,67,Female,43,48,50,cluster3
67,68,Female,68,48,48,cluster3
68,69,Male,19,48,59,cluster4
69,70,Female,32,48,47,cluster2
70,71,Male,70,49,55,cluster4
71,72,Female,47,49,42,cluster3
72,73,Female,60,50,49,cluster3
73,74,Female,60,50,56,cluster3
74,75,Male,59,54,47,cluster4
75,76,Male,26,54,54,cluster4
76,77,Female,45,54,53,cluster3
77,78,Male,40,54,48,cluster4
78,79,Female,23,54,52,cluster2
79,80,Female,49,54,42,cluster3
80,81,Male,57,54,51,cluster4
81,82,Male,38,54,55,cluster4
82,83,Male,67,54,41,cluster4
83,84,Female,46,54,44,cluster3
84,85,Female,21,54,57,cluster2
85,86,Male,48,54,46,cluster4
86,87,Female,55,57,58,cluster3
